Hungarian,English
a,the
meg,and
"vagy, van, vagyok, vannak, vagytok","or, there is, I'm, there are, you are"
volt,volt
már,already
kell,must
még,even
és,and
mint,as
"azt, az",that is
akkor,then
sem,nor
lehet,may
mert,because
minden,all
olyan,such
szerint,according to
pedig,however
"ezt, ez","this is that, this"
így,so
után,after
úgy,business
nagy,large
fel,up
majd,then
két,two
nem,no
nagyon,very
"aki, akik, akit, kit, kik","who whom, who, who, who"
most,now
több,more
lesz,become
itt,here
magyar,Hungarian
"ami, amik, amit, mit","which is what, what, what"
első,first
között,between
amely,which
hanem,but also
nincs,there is no
más,other
illetve,or
alatt,under
egyik,one
volna,would be
arra,there
kft.,ltd.
ilyen,such
azonban,However
sok,many
való,real
által,by
amikor,when
számára,for
valamint,as well as
azért,therefore
egy,one
saját,own
jól,well
ember,human
ahol,where
ott,there
annak,its
mindig,always
miatt,for
mellett,next to
kis,small
alapján,Based on
lenne,would be
előtt,before
egész,whole
nélkül,without
lett,became
ezért,therefore
igen,Yes
másik,another
stb.,etc.
teljes,complete
néhány,some
során,during
ma,today
hiszen,because
milyen,what kind of
mely,deep
mind,all
valami,something
viszont,on the other hand
áll,stand
tehát,so
inkább,rather
legyen,be
három,three
tudom,I know
amelyek,which
éves,annual
ezek,these
adott,given
nagyobb,bigger
például,for example
szükséges,required
együtt,together
azok,those
akár,will
tovább,next
ennek,to do so
nekem,me
megfelelő,adequate
őket,them
szó,weave
elég,enough
hozzá,added
erre,to do so
neki,him
ezzel,with this
következő,following
esetén,in case of
mivel,since
ezen,on this
belül,within
éppen,just
közül,of
fontos,important
jobb,right
benne,inside
magát,herself
esetben,case
talán,maybe
különböző,different
voltak,they were
fog,tooth
teljesen,completely
maga,itself
rendszer,system
nap,Sun
egyes,individual
található,located
vele,with him
ebben,in this
kellett,needed
második,second
túl,over
minden,all
egyre,and
csak,just
arról,about
valaki,someone
ennek,to do so
óta,since
emberek,people
egyéb,other
ahogy,as
semmi,nothing
tudja,know
azzal,with that
ugyanis,because
került,cost
ellen,against
mondta,He told
miért,Why
aztán,then
című,as
kicsit,a bit
módon,manner
vissza,back
bár,bar
világ,world
abban,there
legnagyobb,largest
legalább,at least
mindenki,everybody
jelent,mean
újra,again
persze,of course
részt,part
tud,can
kívül,outside
eddig,so far
most,now
össze,together
keresztül,across
biztos,sure
utolsó,last
isten,God
idő,time
azon,that
itt,here
kerül,avoid
szinte,almost
egyetlen,single
dolog,thing
szép,beautiful
mikor,when
mégis,in spite of that
érdekében,in order
felé,toward
mai,present -day
szemben,against
sokkal,much
jog,law
hogyan,how
összes,all
gazdasági,economic
ide,here
nemzetközi,international
szerintem,I think
míg,while
további,further
képes,ability
szakmai,professional
legjobb,best
így,so
amelyet,which
általában,usually
újabb,newer
évi,annual
szóló,solo
tovább,next
kellene,should
hosszú,long
kapcsolatban,in connection
helyi,local
jobban,better
politikai,political
kapcsolatos,related
régi,old
ezek,these
cég,company
szabad,free
egyszer,once
része,part of
azokat,those
emberi,human
teszi,do
készült,made
számos,numerous
közös,common
sikerült,succeeded
rossz,bad
közben,during
hasonló,similar
lévő,being
hazai,domestic
törvény,law
történt,happened
segítségével,with the help of
száma,number
élet,life
kapott,received
igaz,true
mindent,everything
esetleg,possibly
még,even
külön,separate
oldal,side
bizonyos,certain
végén,end
Budapest,Budapest
történő,youth
elő,live
amerikai,American
jelentős,significant
angol,English
évben,year
vonatkozó,relevant
álló,standing
elsősorban,primarily
ország,country
jelenleg,currently
többi,rest
jelenleg,currently
alá,under
európai,European
vagyunk,we are
négy,four
szükség,need
természetesen,naturally
éve,year
évek,years
hát,well
film,movie
melyek,which
azaz,say
megy,go
magas,high
elmúlt,past
lehetséges,possible
pár,par
sőt,indeed
amelynek,which
szintén,also
általános,general
csupán,only
igazán,really
német,German
esetében,case
mintha,as if
később,later
igazi,real
először,first
nemcsak,not only
ahhoz,thereby
ellenére,in spite of
has,stomach
korábban,earlier
fél,half
október,October
közötti,between
sokat,a lot
jelenti,mean
város,city
belső,internal
regisztrált,registered
ismét,again
mert,because
nagyon,very
társadalmi,social
harmadik,third
pont,point
egyébként,by the way
fenntartva,reserved
kérdés,question
kormány,government
Péter,Peter
kisebb,less
már,already
tényleg,indeed
eredeti,original
addig,until
helyen,place
annyira,so much
lehetőség,possibility
oldalon,side
munka,work
voltam,I was
óra,clock
hol,where
helyett,instead of
úgy,business
valóban,indeed
érdemes,worth
soha,never
vált,switch
senki,nobody
tenni,to do
rövid,short
melyet,which
hiszem,believe
mondja,says
lehetett,it could be
megfelelően,appropriately
lehetőséget,opportunity
létre,create
lenni,to be
jött,came
valamit,something
ezért,therefore
férfi,man
hát,well
mintegy,about
ezeket,these
tett,deed
közel,near
egyszerű,simple
hét,seven
egészen,all the
sor,beer
szerintem,I think
korábbi,earlier
utóbbi,latter
adatok,data
linux,linux
gyakran,often
követően,following
kép,picture
nehéz,hard
ugyan,in
rajta,on
venni,buy
amikor,when
meghatározott,defined
akar,will
lehetővé,allow
tagja,member
hat,effect
tudok,I know
melynek,to which
este,evening
felhasználó,user
működik,work
bele,in
igen,Yes
von,draw
persze,of course
róla,about him
jön,come
lehetne,It could be
akkor,then
élő,live
jelen,present
ill,illuminating
végre,finally
különösen,in particular
bár,bar
magam,myself
közé,among
képest,compared
sajnos,unfortunately
felhasználók,users
körül,around
megjelent,appeared
többet,More
fiatal,young
nemzeti,national
vezető,conductor
akinek,to whom
neve,name
ismert,known
napon,on the sun
also,lower
szól,speak
tartozik,belongs to
jár,walk
forint,forint
vagyis,"that is,"
történik,happen
érdekes,interesting
mail,mail
előző,previous
Ferenc,Francis
célja,its goal
oda,there
megint,over again
elején,early
személyes,personal
továbbá,in addition
tudjuk,we know
előre,forward
alkalommal,time
internet,Internet
végül,in the end
szervezet,organization
játék,game
ezen,on this
évvel,year
mivel,since
amíg,until
állami,state
ezzel,with this
komoly,serious
természetes,natural
semmit,nothing
fogja,hold
hatalmas,powerful
folyamatosan,continuously
jelenlegi,current
legfontosabb,the most important
időben,on time
nekünk,us
ebben,in this
egy,one
egy,one
véleményed,your opinion
külföldi,foreign
pontosan,exactly
attól,from
látható,visible
van,have
területén,on the territory
tűnik,appear
sokan,many
született,born
neked,thee
ehhez,to do this
részére,for
speciális,special
csapat,team
helyzet,state
keretében,under
néha,sometimes
jogi,yogi
tart,keep
maradt,left
vett,bought
nekem,me
baj,charm
rendelkezik,possess
tette,did
tartott,held
hivatalos,official
marad,stay
elnöke,president
írta,written by
kevés,few
tehát,so
idén,this year
tartja,holds
napja,day
egyáltalán,at all
minél,as
azonos,same
részben,part
egyszerűen,simply
szeretnék,I would like to
den,den
mint,as
vagy,obsession
alkalmas,suitable
szerinti,according to
egyéni,individual
szent,holy
perc,minute
erről,about this
alig,barely
amennyiben,if
azonnal,immediately
minden,all
jövő,future
legtöbb,most
szinten,also
ideje,time
rendelkező,holding
betű,letter
tudományos,scientific
nekik,them
amelyben,in which
használt,used
országos,national
figyelembe,considering
gyors,fast
külső,external
aki,who
eladó,seller
gyorsan,fast
pontos,accurate
továbbra,remain
erős,strong
elé,edge
lesznek,they will be
válik,become
években,years
mondani,to say
láttam,I saw
Gábor,Gábor
iskola,school
annyi,so much
system,system
tartalmazza,included
mindenkinek,for everyone
egyaránt,alike
legújabb,newest
gondolom,I think
kedves,nice
megyei,county
ingyenes,free
Sándor,Alexander
mar,march
tartalmaz,contain
további,further
tudják,they know
állt,stand
főleg,mainly
erre,to do so
vélemény,opinion
hagyományos,traditional
meg,and
tartozó,belonging
adni,give
jut,come
csoport,group
említett,mentioned
lehet,may
úton,on the way
részét,part of
könyv,book
kulturális,cultural
helyet,place
sajnos,unfortunately
annyit,that much
ebből,from
alábbi,below
ért,understand
kap,gets
fekete,black
mondjuk,let's say
talán,maybe
probléma,problem
üzleti,business
nevű,named
mértékben,degree
napi,daily
név,name
tesz,make
egyet,one
személy,person
utána,after
ment,went
könnyen,easily
szervezetek,organizations
szívesen,willingly
valamilyen,something
oka,reason
kizárólag,exclusively
György,George
sincs,there is no
time,time
fórum,forum
munkát,job
egyébként,by the way
írd,write
nagy,large
egyedül,alone
választ,choose
engem,me
működő,working
jutott,reached
tudni,to know
ugyanakkor,at the same time
francia,French
adja,give
számú,number
végzett,finished
section,sectation
Jézus,Jesus
mire,by the time
belőle,out of
pénzügyi,financial
magyarországi,Hungarian
tudtam,I knew it
társadalom,society
szeptember,September
sokszor,often
tíz,ten
mit,what
szociális,social
mások,others
információk,informations
rendkívül,extremely
látszik,see
központi,central
bizottság,commission
épp,right now
természetesen,naturally
állandó,constant
modern,modern
szerepet,role
írt,wrote
hely,place
összesen,altogether
embert,man
kötelező,obligatory
családi,family
egyben,in one
egymás,each other
lassan,slowly
egymást,each other
nemzeti,national
idején,in times of
annál,that
olyan,such
két,two
szóval,so
mondom,I say
egyszerre,at the same time
valószínűleg,probably
minket,U.S
anyagi,material
tanár,teacher
ekkor,at
egyesült,united
szám,song
függ,depend
Zoltán,Zoltán
anyag,material
század,century
révén,through
király,King
tagjai,members of
látogató,visitor
mutatja,presents
család,family
támogatás,aid
válasz,answer
programok,Programmes
formában,in form
bármilyen,any
miért,Why
bennünket,us
azóta,since then
múlva,Later
eljárás,proceedings
fehér,white
helyezett,placed
elektronikus,electronic
bármely,any
elleni,anti -
nevét,name
közvetlenül,directly
nagy,large
írja,writes
használni,use
leginkább,mostly
tudta,knew
kevesebb,less
érkezett,arrived
önálló,independent
szerepel,appear
ház,house
várható,expected
felett,above
jellegű,nature
ilyen,such
széles,wide
szépen,nicely
képet,picture
oktatási,educational
kereskedelmi,trade
feladata,duties
országos,national
miközben,while
vendég,guest
előbb,before
sikeres,successful
vége,end
valamennyi,all
közvetlen,direct
víz,water
megoldás,solution
november,November
feladat,task
tetszik,like
lány,girl
múlt,past
mögött,behind
igénybe,use
azért,therefore
Imre,Imre
kevésbé,less
alapvető,basic
folyamatos,continuous
dolgot,thing
tudod,you know
jelenik,appear
nélküli,without
elérhető,available
tér,space
látni,see
közt,between
oly,so
hozott,brought
egészségügyi,health
rendszerek,systems
tudnak,they know
héten,week
ami,which
pozitív,positive
képek,pictures
fenti,upper
típusú,type
több,more
téma,topic
melyik,which
végig,all along
azoknak,to those
önkormányzat,municipality
különleges,special
szót,word
amelyeket,which
magasabb,higher
mellé,beside
veszi,take
nem,no
érte,for him
kéne,should
műszaki,technical
magad,yourself
lap,page
ára,price
szempontból,from a point of view
állam,state
többek,more
jellemző,characteristic
mindkét,both
otthon,at home
reggel,morning
szellemi,intellectual
tőle,from him
hamarosan,soon
vezetője,leader
olasz,Italian
biztosan,certainly
könnyű,easy
iránt,for
Tamás,Thomas
termék,product
hónap,month
készített,prepared
intézmény,institution
tudunk,we know
elmondta,said
használható,usable
látom,I see
digitális,digital
indult,started
kapcsolódó,connecting
figyelmet,attention
így,so
kiváló,excellent
vette,bought
nálunk,with us
többször,repeatedly
megjelenő,appearing
területen,area
alakult,formed
zenei,musical
miután,after
technikai,technical
Pál,Paul
biztonsági,safety
bizottság,commission
magukat,themselves
függetlenül,independently
szempontjából,in terms of
szereplő,actor
eddigi,so far
kissé,a bit
mennyire,how
velük,with them
gyerekek,kids
létezik,exists
nyílt,open
termékek,products
akarja,desire
autó,car
állnak,stand
tudott,known
verseny,race
kapcsolatot,relationship
helyes,correct
darab,piece
ezer,thousand
budapesti,from Budapest
történelmi,historical
követő,follower
szerződés,contract
hozzászólások,comments
abból,from
intézmények,institutions
amennyiben,if
tiszta,clean
nyelv,language
nyújt,offer
föl,up
cím,title
május,May
női,female
feltételek,conditions
hasonlóan,similarly
adatokat,data
ezelőtt,ago
anyagok,materials
egyetemi,university
civil,civil
eszközök,tools
pénz,money
majdnem,almost
értem,I understand
sok,many
egymással,with each other
miniszter,minister
kezdve,starting
majd,then
gyermek,child
szerzett,acquired
dolgok,things
rendszert,system
szeretném,I would like to
köszönhetően,thanks
rész,part
nők,women
terület,area
gép,machine
gyerek,Child
rendelkezésre,at will
látja,see
meleg,warm
képesek,are capable of
keres,look for
kész,ready
gyakorlati,practical
feladatok,tasks
segítséget,help
ugye,right
következtében,as a result
egyedi,unique
tartani,hold
társaság,company
jóval,well
írni,write
rengeteg,plenty
kérjük,please
semmilyen,no
rendelet,decree
Attila,Attila
körülmények,conditions
január,January
tegnap,yesterday
önkormányzati,municipal
szintű,level
gond,worry
aktuális,current
pénzt,money
érdekel,care
ideig,time
hírek,news
idegen,foreign
érvényes,valid
időt,time
cikk,article
országban,country
rendszeresen,regularly
máris,now
vár,Castle
súlyos,serious
tavaly,last year
pedig,however
alacsony,low
szolgáltatás,service
járt,went
ennyi,so much
adta,gave
ehhez,to do this
szolgáltatások,services
díj,charge
amint,as soon as
zene,music
jelentette,reported
iskolai,school
tervezett,planned
piaci,market
cégek,companies
hírek,news
tudsz,you know
egyelőre,for the time being
magának,for himself
december,December
milyen,what kind of
hiba,fault
szólt,spoke
elnök,president
vesz,take
legalábbis,at least
számít,count
szóval,so
címmel,with the title
polgári,civil
tevékenység,activity
állapotban,in condition
akiknek,to whom
nehezen,hard
forintot,forint
idei,from this year
hogyan,how
aminek,to which
használata,use
dolgokat,things
Miklós,Michael
feltétlenül,absolutely
kapcsán,in connection with
konkrét,concrete
velem,with me
indul,starts
beteg,patient
írtam,I have written
gondoltam,I thought
utáni,post -post
legfeljebb,up to
kapcsolat,relationship
egységes,uniform
tartalmazó,containing
életét,life
mást,something else
képviselő,representative
hisz,think
előzetes,preliminary
illeti,respect
járó,walking
ettől,from this
napig,day
augusztus,August
Krisztus,Christ
március,March
keresztény,Christian
eltérő,different
lép,step
menni,to go
mindössze,only
nincsenek,they are not
sikerül,succeed
adminisztrátor,administrator
néhány,some
észre,notice
operációs,operating
évre,year
szerepe,its role
fizikai,physical
ráadásul,Moreover
vajon,whether
épület,building
címet,title
szent,holy
lehetnek,they may be
támogatást,support
haza,home
ennél,at
előtti,precedent
esik,fall
különös,strange
internetes,internet
száz,hundred
esett,fell
amire,to which
egy,one
június,June
teszik,make
hirtelen,suddenly
Béla,Béla
fiatalok,youngsters
készül,prepare
unió,union
információ,information
különféle,various
háború,war
programot,program
köteles,obligatory
körében,In the circle of
jövőben,future
részletes,detailed
némi,some
tartó,holder
cél,Target
élete,his life
hasznos,useful
fognak,they will
kötött,knit
együttes,band
megvan,have
nyelvű,tongue
helye,location
mégsem,but not
rendelkeznek,have
évig,year
bizony,truly
kapnak,they get
szeretnénk,we would like to
támogatja,to support
származó,derived
számított,calculated
viszont,on the other hand
embernek,man
információs,information
lelki,spiritual
bal,ball
levő,being
nos,married
szeretne,would like
érintett,affected
tanács,advice
szolgáló,serving
nevet,name
hatása,effect
szöveg,text
ekkor,at
folyamat,process
katonai,military
képzés,training
oldalán,side
történet,history
internet,Internet
egykori,former
kérdések,questions
kerülnek,they are avoided
megye,county
ipari,industrial
hosszabb,longer
névtelen,anonymous
olvasható,readable
akarok,I want
nyitott,open
köszönöm,Thanks
július,July
fogva,detained
utca,street
pályázati,tender
pályázat,competition
esetleges,potential
segíteni,To help
remélem,hope
országok,countries
csinálni,do
néven,under the name
óriási,giant
április,April
orosz,Russian
gazdag,rich
eredmény,result
kicsi,small
hozzászólás,comment
továbbiakban,in the following
dolgozik,work
címe,it's title
kérdést,question
Károly,Charles
havi,monthly
felelős,responsible
személyi,personal
szoftver,software
vettem,I bought
pozitív,positive
valódi,real
egy,one
két,two
értelmében,in terms of
mikor,when
aktív,active
igaz,true
először,first
tökéletes,perfect
kezdett,started
egyetem,University
zöld,green
érzem,I feel
felelősséget,liability
oktatás,education
életet,life
mindegy,all the same
problémák,problems
oldalt,side
nép,people
hang,voice
többen,more
kívánt,required
pontja,point
levelet,letter
messze,far
kezd,start
utoljára,for the last time
szerző,author
tartalma,content
filmet,film
úgy,business
ilyenkor,at this time
kovács,blacksmith
foglalkozó,career
százalékos,percent
apró,small
megadott,specified
barátom,my friend
eddig,so far
szabadon,free
fiú,boy
mondtam,I said
egyház,church
veszélyes,dangerous
honlap,website
kedvenc,favourite
vezet,lead
világban,in the world
ugyanakkor,at the same time
viszonylag,relatively
kultúra,culture
regisztráció,registration
bárki,anyone
úgynevezett,so -called
párt,party
eszembe,to my mind
nyelven,in language
minisztérium,ministry
nyugati,Western
évente,annually
mindenképpen,in any case
használja,use
fent,above
oldalra,to the side
embereket,people
mindenkit,everyone
úgyhogy,so
hozza,bring
maguk,themselves
értelemben,in the sense of
különbség,difference
foglalkozik,deck
ajánlott,recommended
nyert,won
test,body
szabó,tailor
katolikus,Catholic
klasszikus,classic
uniós,EU
helyre,place
kíván,wish
sorozat,series
erősen,strong
egészséges,healthy
alapítvány,foundation
pontot,point
számomra,for me
komolyan,seriously
hátsó,back
ott,there
les,huh
százalékkal,by percent
rendben,in order
éven,year
jelentősen,significantly
valójában,in fact
rögtön,immediately
valamelyik,one of
immár,now
azután,then
információkat,information
tagok,members
független,independent
délután,afternoon
biztosítja,ensure
néz,look
közepén,in the middle
tartom,I hold it
címen,at
várja,Waiting
alatti,below
híres,famous
cikkek,articles
felső,upper
képeket,images
kellemes,pleasant
innen,from here
biztosít,insure
beszél,talk
költségvetési,budgetary
városi,urban
látta,saw
informatikai,IT
öreg,old
biztosítani,to assure
rosszul,poorly
végül,in the end
zárt,closed
következik,follow
kemény,chimney
kivéve,except
meghatározó,decisive
hallottam,I have heard
sötét,dark
hallgatók,I'm listening
közösen,together
általa,through
hős,hero
tartják,are being kept
színes,colorful
hálózati,network
kaptam,I got
üzenet,message
hiába,in vain
tény,fact
lakás,apartment
valahol,somewhere
élni,to live
megoldást,solution
megyei,county
kettő,two
amúgy,by the way
ahogyan,as
tekintetében,respect
remélem,hope
heti,weekly
vállalat,company
közösség,community
akartam,I wanted
szüksége,need
órakor,hour
életben,in life
sokáig,long
látott,saw
ahogy,as
amivel,with
friss,fresh
Mihály,Michael
legyenek,be
ebből,from
iránti,to
fele,half
gyakorlatilag,practically
felhasználása,use
lehetőségek,opportunities
akarsz,you want
mutat,show
szegény,poor
áron,priced
valahogy,somehow
part,party
lakosság,population
másrészt,on the other hand
lényeg,essence
föld,Earth
problémát,problem
részéről,on its part
számítógépes,computer
ismeretlen,unknown
elérni,to reach
per,grayling
negyedik,fourth
világon,on the world
magában,on the own
példa,example
hallgató,listener
folyamán,during
alkalmazott,applied
hozzászólást,comment
eléggé,sufficiently
helyzetben,in a position
százaléka,percentage
közösségi,communal
gyönyörű,beautiful
asszony,woman
mostani,current
pillanatban,at the moment
mielőtt,before
mindenféle,all kinds of
célra,on purpose
oldalak,pages
információt,information
témát,topic
nézve,view
nyugodtan,calmly
szeretem,I like
időszakban,during periods
kerültek,have been avoided
automatikusan,automatically
vizsgálat,examination
épült,built
hivatal,office
adó,tax
fölött,above
más,other
vasárnap,Sunday
orvosi,medical
kapta,obtained
válasz,answer
többnyire,mostly
téren,on the square
nincsen,is not
piac,market
díjat,charge
ezután,then
terén,on the square
folyó,river
máj,liver
világot,world
címre,to the title
jogosult,eligible
véve,in favor of
melyben,in which
egyházi,ecclesial
környezet,environment
kattintva,by clicking
csoportok,groups
fogják,are being tagged
hálózat,network
döntés,decision
szakemberek,professionals
várhatóan,expected
lehetősége,opportunity
férfiak,men
beszélni,speak
körben,round
közönség,audience
egyértelműen,obviously
fogok,I will
hamar,soon
rám,on me
jót,good
munkáját,work
kétszer,twice
lépett,stepped
napot,day
nyári,summer
jogok,rights
folyik,flow
szeretné,would like to
fórum,forum
fenn,up
véletlenül,accidentally
szokásos,usual
ezután,then
projekt,project
utat,the way
régen,long time ago
Tibor,Tibor
története,history
orvos,doctor
kezdődik,begin
kiderült,it turned out
kifejezetten,especially
zenekar,band
érték,value
hatására,as a result of
gyermekek,children
velünk,with us
alól,under
ezúttal,this time
ismeri,know
eszköz,device
számítógép,computer
magyarok,Hungarians
intel,intel
szavazás,vote
kialakult,formed
kapni,to get
leszek,I will be
partner,partner
formájában,in the form of
gyenge,weak
adnak,are given
legjobban,best
igény,need
személyek,persons
grafikus,graphic
végére,at the end of
ugyancsak,also
regionális,regional
miként,how
nőtt,grew
eredménye,result
tekintettel,in view of
játszik,play
útján,on the way
február,February
kérem,Please
alkalmazni,to apply
akart,wanted
nyolc,eight
csodálatos,wonderful
mondott,said
sajátos,particular
csökkent,decrease
vezetői,managerial
méretű,sized
tetszett,I liked it
lista,list
onnan,from there
dolgozni,to work
nyújtott,stretched
hatékony,effective
életében,in his life
gyakorlat,exercise
például,for example
halál,death
levél,letter
többsége,majority
tekintve,in terms of
köztük,including
hideg,cold
mennyi,How much
kedvező,favorable
jelszó,password
joga,yoga
végső,final
üres,empty
lásd,see
forintos,forint
városban,in town
méltó,worthy
román,Romanian
választási,election
okoz,cause
másodperc,second
fejlesztési,developmental
olvastam,I read
illetőleg,respectively
kiemelt,highlighted
megyek,counties
nappal,day
örök,eternal
átlagos,average
hír,news
hány,How many
sms,SMS
different,differential
szervezett,organized
település,settlement
minőségű,quality
író,writer
vezetett,guided
talált,found
megjelenik,appear
kívánja,wishes
rendszeres,regular
tanfolyam,course
kapsz,you get
miután,after
élt,live
alsó,lower
naponta,daily
igazság,truth
erkölcsi,moral
kutya,dog
melyeket,which
dolgozott,worked
templom,temple
szeretet,love
normális,normal
önkormányzatok,municipalities
ingyen,free
kezdte,began
hozta,brought
Mária,Mary
okt,oct
mezőgazdasági,agricultural
döntött,decided
ugyanaz,same
eső,rain
meglévő,existing
előtte,before
ugyanúgy,in the same way
igazgatója,director
kék,blue
negatív,negative
kommunikációs,communicational
egyesület,association
módszer,method
boldog,happy
kérdése,question
szabályok,rules
közölte,told
vonatkozik,apply
meglehetősen,rather
sőt,indeed
szerver,server
nálam,with me
rendszerben,in system
egymástól,from each other
állandóan,constantly
voltunk,we're
magára,on himself
nemzetközi,international
kiderül,turn out
piacon,on the market
amúgy,by the way
zsidó,Jewish
eset,case
tulajdonképpen,in fact
élnek,they live
százalék,percentage
nyelvi,linguistic
est,evening
szerződést,contract
bejelentette,announced
foglalja,occupy
verzió,version
szolgáltatást,service
környezetvédelmi,environmental
engedélyével,with the permission of
fővárosi,capital
történelem,history
nyilván,obviously
mond,tell
napos,sunny
megtalálható,can be found
szerelem,love
alkalmazása,application
használják,use
modell,model
műszaki,technical
egyrészt,on the one hand
csaknem,almost
választott,chosen
gazdaság,Economy
valakinek,to someone
vállal,undertake
kor,circle
jövőre,next year
utcai,Street
elegendő,sufficient
holnap,tomorrow
intézet,Institute
szoba,room
nyilvános,public
határozza,define
napján,day
működését,function
római,Roman
szerzői,author's
anyagot,material
kezdődött,began
akiket,whom
sosem,never
Tóth,Tóth
találtam,I found
ritkán,rarely
görög,Greek
szem,eye
amelyik,which
érzi,feel
mondják,say
értéke,value
tűnt,it seemed
rendőrség,police
kapcsolatba,contact
kínál,offer
bíróság,court
eredmények,results
japán,Japan
napokban,In the days
amelyen,on which
kisebbségi,minority
megbízható,reliable
függően,depending on
alapvetően,basically
dolgozó,working
politika,policy
életpontot,life point
kattints,click
ügyben,in case
karakter,character
könyvet,book
must,must
irodalom,literature
fia,son
számát,number
egyike,one
többé,any more
szervezeti,organizational
akarnak,they want
fajta,species
foglalt,busy
mindennapi,everyday
lemez,plate
rendkívüli,extraordinary
hoz,to
ezáltal,thereby
amit,what
szolgáltató,service provider
fejlesztése,development
népszerű,popular
természet,nature
többiek,others
összeg,amount
abba,in it
alapú,based
irodalmi,literary
tanulók,I'm learning
működési,operational
rájuk,on them
változás,change
lennie,be
kapcsolatok,relationships
változata,version
avagy,or
okozott,caused
jogot,right
sohasem,never
minőségi,quality
extra,extra
későbbi,later
keresek,I am looking for
ennyire,so much
találni,to find
játszani,to play
volt,volt
feladatokat,tasks
rendezett,tidy
időre,on time
gombra,button
fizetni,to pay
előadás,lecture
itthon,home
személyesen,personally
legfőbb,supreme
kedves,nice
fogom,I will take
véget,end
számot,number
könyvtár,library
gondolja,think
falu,village
valamely,one
helyét,place
nevében,on behalf of
képviselői,representative
ebbe,into this
környezeti,environmental
környezetben,in the environment
bármikor,anytime
brit,Briton
jelentése,meaning
bekezdés,paragraph
drága,expensive
állítja,claim
segít,help
kíváncsi,curious
kiadó,publisher
tartotta,held
magunkat,ourselves
legmagasabb,highest
természeti,natural
szövetség,covenant
diákok,students
akarom,I want
fontosabb,more important
elektromos,electronic
mély,deep
azok,those
században,century
amiben,in which
nézni,watch
elől,in front of
vannak,are
elméleti,theoretical
közeli,close
segíti,help
erről,about this
bekezdése,paragraph
terv,plan
játékos,player
hatalom,power
témában,in topic
talál,find
véleményét,opinion
játszott,played
abszolút,absolute
furcsa,strange
ajánlom,I recommend
anélkül,without that
illetően,regarding
tele,full
aránya,proportion
vizet,water
szolgál,serve
tervek,plans
beszélt,spoke
főként,mainly
illetékes,competent
veszik,take
biztosított,insured
kutatási,research
gépek,machines
telefon,phone
hiszen,because
tökéletesen,perfectly
hírek,news
kaptak,they got
egyetem,University
kiegészítő,additional
valós,real
kínai,Chinese
árak,Prices
technológia,technology
lélek,soul
kiállítás,exhibition
három,three
felhasználói,user
címed,address
tavalyi,last year
nyáron,in summer
körüli,around
hiányzik,miss
betegség,disease
értelme,meaning
hit,faith
amiket,as
amellyel,with which
játékok,games
keleti,east
lehessen,be
éjszaka,night
elfogadott,accepted
méter,meter
egység,unit
bennem,in me
